0,1,2,3
左髖關節,"屈曲
（正常125度）","伸展
（正常10度）","關節活動度
（正常135度）"
右髖關節,"屈曲
（正常125度）","伸展
（正常10度）","關節活動度
（正常135度）"
左膝關節,"屈曲
（正常140度）","伸展
（正常0度）","關節活動度
（正常140度）"
右膝關節,"屈曲
（正常140度）","伸展
（正常0度）","關節活動度
（正常140度）"
左踝關節,"蹠曲
（正常45度）","背屈
（正常20度）","關節活動度
（正常65度）"
右踝關節,"蹠曲
（正常45度）","背屈
（正常20度）","關節活動度
（正常65度）"
