0,1,2
編號,手術項目,"手術
給付倍數"
874,輸尿管剝離術 － 單側,10
875,輸尿管剝離術 － 雙側,20
876,輸尿管腎盂造口吻合術或重建術,30
877,輸尿管和輸尿管吻合術,30
878,輸尿管及對側輸尿管吻合術,30
879,輸尿管膀胱重建術－ 單側,26
880,輸尿管膀胱重建術－ 雙側,30
881,輸尿管小腸吻合術－ 單側,10
882,輸尿管小腸吻合術－ 雙側,20
883,輸尿管乙狀結腸造口吻合術,20
884,"以腸管取代全部或部分輸尿管，包括腸管吻合
術－ 單側",20
885,"以腸管取代全部或部分輸尿管，包括腸管吻合
術－ 雙側",30
886,輸尿管皮膚吻合術－ 單側,10
887,輸尿管皮膚吻合術－ 雙側,20
888,表皮輸尿管瘻管閉合術,10
889,輸尿管膀胱瘻管閉合術,20
890,輸尿管迴腸皮膚吻合術,20
891,輸尿管插管術,5
892,輸尿管狹窄內擴張術,5
893,"輸尿管鏡取石術及碎石術－ 單純內視鏡操作
方式",10
894,"輸尿管鏡取石術及碎石術－ 併用超音波或電
擊方式",20
895,"輸尿管鏡取石術及碎石術－ 併用雷射治療方
式",10
896,腹式或陰道式會陰尿道懸吊術,20
897,腹腔鏡輸尿管取石術,10
898,輸尿管膀胱波氏瓣接合術,30
899,輸尿管迴腸經皮分流術(單側),20
900,輸尿管迴腸經皮分流術(雙側),30
901,經內視鏡輸尿管切開術,10
902,經尿道輸尿管憩室切開術,10
903,腹腔鏡高位輸尿管皮膚吻合術（單側）,10
904,腹腔鏡高位輸尿管皮膚吻合術（雙側）,20
905,膀胱抽吸,3
906,膀胱造口術 － Open method,5
907,膀胱造口術 － Trocar method,5
908,膀胱造口閉合,5
909,膀胱取石術,5
910,單純膀胱頸切開術,5
911,膀胱憩室之切除（單個或多發性者）,10
912,膀胱腫瘤之切除－ 內視鏡下,10
913,膀胱腫瘤之切除－ 手術,10
914,膀胱部分切除術,20
915,膀胱全切除術,20
916,膀胱攝護腺根除術,30
917,膀胱全切除術合併尿道全切除術,30
918,膀胱全切除術合併原位新膀胱重建術,40
919,膀胱攝護腺根除術合併原位新膀胱重建術,40
920,"膀胱全切除術及尿道全切除術合併禁尿膀胱重
建術",40
921,膀胱全切除術合併骨盆腔淋巴切除術,30
922,膀胱攝護腺根除術合併骨盆腔淋巴切除術,30
923,"膀胱全切除術及尿道全切除術合併骨盆腔淋巴
切除術",40
924,"膀胱全切除術及骨盆腔淋巴切除術合併原位新
膀胱重建術",40
925,"膀胱攝護腺根除術及骨盆腔淋巴切除術合併原
位新膀胱重建術",40
