0,1,2
編號,手術項目,"手術
給付倍數"
1244,立體定位術－ 切片,30
1245,立體定位術－ 抽吸,30
1246,立體定位術－ 放射同位素置放,40
1247,立體定位術－ 功能性失調,40
1248,經內視鏡胸交感神經切斷術,5
1249,顏面神經減壓術,20
1250,顱底瘤手術,80
1251,"神經移轉手術－上肢肩、下肢臀關節以上，包
括腦神經的轉移",30
1252,"神經移轉手術－上肢腕、下肢足踝關節以上，
神經的轉移",10
1253,"神經移轉手術－上肢腕、下肢足踝關節以下，
神經的轉移",5
K、聽器,,
1254,耳介膿瘍或血腫切開引流術,5
1255,外耳道異物除去術，使用耳道鏡,3
1256,外耳道異物除去術，使用耳道鏡，並有麻醉,3
1257,T.D.傳統耳膜切開術,3
1258,耳前瘻管或囊腫切除術,5
1259,外耳道普通創傷縫合術,3
1260,鼓膜切開術,3
1261,外耳道腫瘤顯微鏡切除術,5
1262,外耳道惡性腫瘤切除術,30
1263,外耳道閉鎖症手術,20
1264,外傷性耳成形術,20
1265,外耳道成形術,10
1266,耳膜成形術,10
1267,中耳耳茸摘出術,5
1268,顯微鏡下鼓膜切開術，併鼓室通氣管插入,5
1269,鼓室探查術,5
1270,鼓膜成形術,10
1271,鼓室成形術 － 不包括乳突鑿開術,20
1272,鼓室成形術 － 包括乳突鑿開術,30
1273,聽小骨重建術,20
1274,乳突鑿開術－ 簡單式,10
1275,乳突鑿開術－ 修正式,20
1276,耳性顱內合併症手術,30
1277,耳性硬腦膜外膿瘍切開術,30
1278,鐙骨截除及修補,20
1279,鐙骨鬆動術,10
1280,耳後瘻孔縫合術,5
1281,內耳全摘除術,20
1282,內淋巴囊減壓術,20
1283,迷路開窩術,20
1284,迷路切除術,20
1285,聽神經腫瘍切除術（經耳的）,40
1286,顳骨錐部切除術,30
1287,顳骨全切除術併乳突鑿開術,40
1288,耳病性暈眩手術,20
1289,半規管造窗術,10
1290,耳再接手術,30
1291,人工電子耳手術(人工耳蝸植入術),30
L、視器,,
1292,眼球剜出術,10
1293,眼球內容物剜除術,10
1294,眼球傷口之修補 － 鞏膜穿孔,5
1295,眼球傷口之修補 － 角、鞏膜穿孔,5
1296,角膜切開術,5
1297,角膜穿刺,3
1298,翼狀贅肉簡單切除合併角膜切除,5
