0,1,2
編號,手術項目,"手術
給付倍數"
586,舌全切除術,30
587,內上頷動脈結紮,5
588,腮腺切除術，全葉摘除,30
589,腮腺切除術，切除,30
590,口腔底部整體切除術,30
591,口腔複合性切除術,30
592,深頸部切開引流術,10
593,食道肌切開術,20
594,食道憩窒切除術,30
595,食道內腔置管術,10
596,食道胃底改道術,40
597,食道胃底吻合術,40
598,食道胃改道術,40
599,逆行食道擴張術,3
600,食道、胃瘻管縫合術,20
601,食道切除術,40
602,食道切除再造術,50
603,食道切開術,30
604,食道瘤及囊腫切除術,20
605,食道再造術－以胃管重建,40
606,食道再造術－以大腸重建,40
607,食道再造術－以小腸重建,40
608,食道裂傷修補術,30
609,一般性食道癌摘除術（含淋巴節清掃）,40
610,複雜性食道癌摘除術（含淋巴節清掃）,50
611,"食道靜脈瘤曲張結紮,經胸或經腹",30
612,"食道靜脈瘤曲張結紮, 脾臟切除併近心端胃血
管去除－經胸",30
613,"食道靜脈瘤曲張結紮, 脾臟切除併近心端胃血
管去除－經腹",30
614,胃食道內管留置（胃賁門癌或食道癌）,20
615,胸腔鏡食道瘤及囊腫切除術,20
616,胸腔鏡食道切除術,50
617,胸腔鏡食道肌肉切開術,30
618,胃切開術－ 探查性,10
619,胃切開術－ 異物移除,10
620,胃切開術－ 潰瘍縫合及止血,20
621,幽門肌肉切開術(Fredet-Ramstedt型手術）,10
622,胃潰瘍或腫瘤的局部切除,20
623,胃全部切除術,40
624,胃造瘻術及幽門成形術,20
625,"次全或半胃切除術及胃十二指腸吻合術－無迷
走神經切除",30
626,"次全或半胃切除術及胃空腸吻合術－無迷走神
經切除",30
627,"次全或半胃切除術及胃空腸吻合術Roux-en-Y
型－無迷走神經切除",30
628,次全或半胃切除術－伴有迷走神經切除,40
629,迷走神經切斷術加幽門成形術,30
630,幽門成形術,20
631,胃十二指腸造口吻合術,20
632,胃空腸造口吻合術,20
633,胃小腸造口吻合術,20
634,胃空腸造口吻合術（伴有迷走神經切斷術）,30
635,胃造口術,10
636,十二指腸縫合術（十二指腸潰瘍穿孔的縫合）,20
637,胃縫合術（胃潰瘍穿孔及胃部傷口的縫合）,20
638,胃十二指腸造口再修正併或不併迷走神經切除,30
639,胃切除後因出血而再剖開,10
640,胃造口閉口,10
641,十二指腸造口術,20
