0,1,2
編號,手術項目,"手術
給付倍數"
74,骨片切取術,5
75,鼻骨骨折閉鎖復位術,5
76,脊椎肋骨突起切除術,5
77,鎖骨部份摘除術,5
78,鎖骨全部摘除術,10
79,鎖骨骨折開放復位術,10
80,鎖骨骨折固定術,3
81,肋骨骨折固定術（膠布固定法）,3
82,肋骨切除術,5
83,肋骨部份切除術,5
84,胸壁無熱性膿瘍根治手術,3
85,四肢切斷術－ 大腿,10
86,四肢切斷術－ 小腿、上臂、前臂,10
87,四肢切斷術－ 腕、踝,5
88,四肢切斷術－ 指、趾,5
89,斷端成形術－大腿、小腿、上臂、前臂,5
90,斷端成形術－ 指、趾,5
91,股骨幹骨折開放性復位術,20
92,"股骨頸骨折開放性復位術
註:包含股骨粗隆間或股骨粗隆週邊骨折",30
93,"股骨頸骨折開放性復位術,帶肌肉血管骨移植",30
94,脛骨骨折開放性復位術,20
95,橈骨、尺骨骨折開放性復位術,5
96,橈骨尺骨遠心端骨折經皮穿刺內固定復位手術,5
97,膝蓋骨骨折開放性復位術,5
98,腕、跗、掌、蹠骨骨折開放性復位術,10
99,指、趾骨骨折開放性復位術,5
100,手、足骨摘除術,5
101,大腿骨骨折徒手復位術,5
102,脊椎骨、盆骨骨折徒手復位術,5
103,下腿骨、上臂骨骨折徒手復位術,5
104,前臂骨骨折徒手復位術,5
105,腕骨骨折徒手復位術,5
106,踝骨骨折徒手復位術,3
107,掌骨骨折徒手復位術,3
108,蹠骨骨折徒手復位術,3
109,指、趾骨骨折徒手復位術,3
110,膝蓋骨(髕骨)位置重整術,10
111,急性化膿性關節炎切開術－ 股關節,10
112,"急性化膿性關節炎切開術－ 肩關節、肘關
節、腕關節、膝關節、踝關節",10
113,滑膜切除術或關節囊切除術－ 股關節,20
114,滑膜切除術或關節囊切除術－ 膝關節,10
115,"滑膜切除術或關節囊切除術－ 肩關節、肘關
節、腕關節或踝關節",10
116,滑膜切除術或關節囊切除術－ 指趾,5
117,指、趾關節固定術,5
118,肘關節截斷術,10
119,腕關節截斷術,10
120,膝關節截斷術,10
121,踝關節截斷術,10
122,指、趾關節截斷術,5
123,股關節脫位開放性復位術,10
124,肩關節脫位開放性復位術,10
125,肘關節脫位開放性復位術,10
126,膝關節脫位開放性復位術,10
127,腕關節脫位開放性復位術,5
128,踝關節脫位開放性復位術,5
129,腓外踝或脛內踝單一骨折開放性復位術,10
130,足踝關節內、外或後踝之雙踝或三踝骨折開放,10
