0,1,2
編號,特定處置項目,"特定處置
給付倍數"
58.,血 管阻塞術,20
59.,經 皮冠狀動脈擴張術－一條血管,20
60.,經 皮冠狀動脈擴張術－二條血管,30
61.,經 皮冠狀動脈擴張術－三條血管,40
62.,主 動脈氣球裝置術,3
63.,食 道狹窄氣球擴張術,1.25
64.,經 皮輸尿管內管置放術,5
65.,腸 胃道出血栓塞治療,10
66.,經 皮穿刺膽囊引流術,3
67.,經 皮內視鏡胃造瘻管替換術,1.25
68.,經 皮內視鏡胃造瘻術,1.25
69.,經 頸靜脈肝內門脈系統靜脈分流術,20
70.,A mplatzer 心房中膈缺損關閉器治療中膈缺損,20
71.,經 皮穿腔靜脈過濾裝置置放術,10
72.,經 皮導管血管內\心臟內異物移除術,30
73.,氣 管支架置放術,10
74.,腸 骨動脈血管支架置放術,10
75.,腎 臟腫瘤冷凍治療,40
76.,深 部腦核電生理定位,10
77.,經 內視鏡施行食道擴張術,3
78.,"治療性導管植入術 — 末梢靜脈植入中心導管
術",1.25
79.,大 腸鏡異物取出術,5
80.,治 療尿路迴流之膀胱三角下層注射術,3
81.,肝 動脈栓塞術,5
82.,囊 腫摘除術(小) － <2公分,1.25
83.,囊 腫摘除術(中) － 2-4公分,3
84.,囊 腫摘除術(大) － >4公分,5
85.,口 內軟組織腫瘤切除,1.25
86.,軟 組織切片,0.5
87.,硬 組織切片,1.25
88.,囊 腫造袋術,1.25
89.,瘻 管切除術,0.5
90.,"腐 骨清除術 － 簡單,1/3鄂以下",1.25
91.,"腐 骨清除術 － 複雜,1/3鄂以上",3
92.,口 竇瘻管修補術,5
93.,神 經撕除法,1.25
94.,涎 石切除術 － 在腺管中,1.25
95.,皮 瓣手術(小) － 4平方公分以下,0.5
96.,皮 瓣手術(中) － 4-16平方公分,1.25
97.,皮 瓣手術(大) － 16平方公分以上,3
98.,骨 瘤切除術 － 2公分以下,5
99.,骨 瘤切除術 － 2公分以上,10
100.,拔 牙-複雜性，有縫合,0.5
101.,牙 周病翻瓣手術,3
102.,"支氣管內視鏡超音波導引縱膈淋巴節定位切片
術",10
103.,"支氣管內視鏡超音波導引週邊肺組織採檢切片
術",10
104.,肋 膜腔鏡檢查合併切片,5
105.,縱 膈腔鏡檢查合併切片,1.25
106.,心 房中膈穿刺術,5
107.,經 皮穿胸組織穿刺,1.25
108.,氣 管食道穿刺,1.25
109.,膀 胱穿刺,0.5
110.,經 內視鏡消化道華達壺腹切開併截石術,20
111.,皮 下括約肌切開術,1.25
112.,陰 唇粘連分離術,1.25
113.,電 腦斷層導引下組織切片，取樣剛針,1.25
114.,乳 房攝影立體定位組織切片術,1.25
115.,內 視鏡射頻消融術(RFA),10
