0,1,2
編號,手術項目,"手術
給付倍數"
302,內視鏡腕道減壓術,5
303,舟狀骨骨折開放性復位術,10
D、呼吸器,,
304,鼻息肉切除術－ 孤立性,3
305,鼻息肉切除術－ 多發性,3
306,鼻甲電燒灼,3
307,粘膜下中膈矯正術,5
308,全部或部份鼻甲切除,5
309,上頷竇造口術,3
310,冷凍手術,3
311,鼻咽切片,3
312,上頷竇切開術，單側,10
313,上頷竇與篩竇切開術,10
314,竇瘻管修復術,5
315,鼻內篩骨竇手術,5
316,多竇副鼻竇手術,20
317,全副鼻竇切除術,20
318,術後頰囊腫摘出術,10
319,淚囊鼻腔造瘻術,10
320,鼻粘連解除術,5
321,鼻中膈鼻道成形術－ 單側,10
322,鼻中膈鼻道成形術－ 雙側,20
323,鼻部軟組織切片,3
324,鼻中膈膿瘍或血腫引流,3
325,鼻內膿瘍或鼻側軟骨血腫引流,5
326,粘膜下鼻甲切除術(SMT)－ 單側,3
327,粘膜下鼻甲切除術(SMT)－ 雙側,5
328,鼻竇探查術,5
329,萎縮性鼻炎手術，單側,5
330,口腔鼻腔瘻管修補術,10
331,下鼻甲成型術,5
332,經鼻外篩竇切除術,10
333,鼻中膈穿孔縫合術,5
334,鼻中膈造形術,10
335,一般鼻甲黏膜切除術,5
336,鼻成形術,20
337,翼管神經切除術,20
338,鼻腫瘤切除並植皮,10
339,前額竇切除術,20
340,上頷骨切除術－ 部份,30
341,上頷骨切除術－ 全部,30
342,經軟顎鼻咽探查術,10
343,鼻內惡性腫瘤切除術,30
344,後鼻孔閉鎖症開放術,10
345,上頷篩竇骨蝶骨根本手術,20
346,腫瘤切除從額竇,10
347,腫瘤切除從上額竇,10
348,腫瘤切除從篩竇,10
349,鼻後孔成形術－ 經鼻,10
350,鼻後孔成形術－ 經口,30
351,Denker's 手術,20
352,鼻咽腫瘤切除術,30
353,副咽腫瘤-經下顎骨切開,30
354,Killian 手術 （額竇前壁切除術）,20
355,蝶竇手術,10
356,鼻與顎囊腫切除,20
357,經鼻鼻後孔閉塞修補,10
358,經鼻中膈鼻後孔閉塞修補,10
359,經上顎鼻後孔閉塞修補,10
360,顱顏合併手術,40
