0,1,2
編號,手術項目,"手術
給付倍數"
418,肺單元切除術,40
419,肺楔狀或部份切除術,40
420,氣管、支氣管、細支氣管異物除去術－氣管鏡,3
421,氣管、支氣管、細支氣管異物除去術－開胸術,30
422,氣管支氣管傷修補術,30
423,氣管支氣管再造術,30
424,胸壁切除術及肌肉移植術,40
425,胸腔成形術合併肌肉移植或人工網膜修補術,30
426,肺膜剝脫術,40
427,胸膜內( 外 )肺鬆解術（剝離術）,40
428,全肺切除及胸廓成形術或支氣管成形術,40
429,一葉肺葉切除,40
430,二葉肺葉切除,40
431,肺全切除術,40
432,球填充術,10
433,空洞成形術,20
434,支氣管瘻管閉鎖術,40
435,肺合併臟器切除,40
436,肺袖式切除,40
437,重次開胸手術,5
438,門脈減壓術,30
439,支氣管鏡併做腫瘤切(摘)除,30
440,胸膜固定(黏合)術,20
441,肺膿瘍切開術,10
442,支氣管內擴張術,3
443,氣管內腔置管術,10
444,胸腔鏡肺膜剝脫術,40
445,胸腔鏡肋膜黏合術,20
446,胸腔鏡全肺切除術,40
447,胸腔鏡肺葉切除術,40
448,胸腔鏡肺楔狀或部分切除術,40
E、循環器,,
449,探查性心包膜切開術,20
450,心包膜穿刺放液術,3
451,心包膜切除術,30
452,心臟縫補術,30
453,探查性開心術：包括移除異物,30
454,人工A.S.D. Blalock-Hanlon 法,30
455,人工A.S.D. Rashkind 法,30
456,人工 A.S.D.血流進口阻斷法,30
457,心內腫瘤切除及繞道手術,40
458,"經胸切開術裝置或置換永久性心內節律器及心
肌電極",30
459,插入或置換永久性節律器—單導線,10
460,插入或置換永久性節律器—多導線,10
461,經靜脈插入暫時性電極,5
462,瓣膜成形術(含導管進行),40
463,主動脈瓣或二尖瓣或三尖瓣之置換手術,40
464,兩個瓣膜換置,50
465,三個瓣膜換置,50
466,心室動脈瘤之修補,50
467,A.S.D.修補,40
468,心內膜墊缺陷之修補手術,40
469,Valsalva-sinus 瘻管之修補手術,40
470,冠狀動脈繞道手術－ 一條血管,40
471,冠狀動脈繞道手術－ 二條血管,50
472,冠狀動脈繞道手術－ 三條血管,50
473,腔靜脈回流右心房異常之修補手術,40
474,室中隔缺損(VSD)修補手術,40
475,四合群症之修補(T.F),50
