0,1,2
編號,手術項目,"手術
給付倍數"
,性復位術,
131,指、趾關節脫位開放性復位術,5
132,胸鎖關節脫位開放性復位術,5
133,肩鎖關節脫位開放性復位術,10
134,股關節脫位徒手復位術,5
135,肩關節脫位徒手復位術,3
136,肘關節脫位徒手復位術,3
137,膝關節脫位徒手復位術,3
138,腕關節脫位徒手復位術,3
139,踝關節脫位徒手復位術,3
140,指、趾關節脫位徒手復位術,3
141,徒手關節授動術,5
142,板機指手術,5
143,肌炎手術－腰肌炎、臂肌炎或大腿肌炎,5
144,肌炎手術－其他部位,5
145,斜角肌切斷術,5
146,斜頸手術,5
147,頸部瘻管、頸部囊腫摘出術,10
148,腱鞘囊摘出術、液囊腫瘤摘出術,5
149,腱、韌帶皮下斷裂縫合術,5
150,腱、韌帶皮下切斷手術,5
151,肌腱修補術,5
152,指關節側韌帶切除術,5
153,Gillie氏手術（瞼外翻手術）,5
154,顴骨，封閉性復位,5
155,"顴骨, 開放性復位－ 簡單",5
156,"顴骨, 開放性復位－ 複雜",10
157,顎骨、口蓋、舌良性腫瘤摘除術,5
158,顎骨骨折開放手術－ 單一骨折,5
159,顎骨骨折開放手術－ 複雜骨折,10
160,下顎骨斷離術,10
161,下顎骨切除術－ 邊緣切除,5
162,下顎骨切除術－ 部份切除,10
163,下顎骨切除術－ 半切除,10
164,下顎骨脫位復位術,5
165,下顎骨骨折開放性復位（簡單）,10
166,上顎骨懸掛式鋼絲,10
167,上顎骨簡單開放性復位,5
168,上顎骨複雜開放性復位,20
169,眼眶底開放性復位術－ 矽板植入,10
170,眼眶底開放性復位術－ 自體植入,20
171,上下顎間鋼絲固定,10
172,顎關節強直解除術,10
173,頸部良性腫瘤切除，簡單,5
174,跟腱斷裂縫合術,10
175,臏骨韌帶斷裂縫合術,10
176,雙頭肌腱斷裂縫合術,10
177,四頭肌腱斷裂縫合術,10
178,肩旋轉袖破裂修補術－輕度,10
179,肩旋轉袖破裂修補術－重度,10
180,"臀大肌,肩三角肌纖維化(攣縮)鬆弛術",5
181,肩峰成形術,5
182,脛骨粗隆結節切除術或骨融合術,5
183,臏骨半脫位外側放鬆術,5
184,臏骨軟骨軟化症造孔術,5
185,足踝韌帶修補術,5
186,大腳趾外翻,5
187,大腳趾外翻（截骨術）,10
188,拇指基關節韌帶成形術,20
189,拇指基關節韌帶植入術,10
