0,1,2
編號,手術項目,"手術
給付倍數"
529,動靜脈造瘻術合併人工血管使用(兩處吻合),20
530,"主動脈根部術（含主動脈弓切除、主動脈瓣置
換或保留）",40
531,內頸靜脈切開，永久導管放置術,10
F、造血與淋巴系統,,
532,脾臟切除術,20
533,脾臟修補術,20
534,部份脾切除術,20
535,自體脾再植,10
536,脾腎靜脈分流術（包含脾摘除）,30
537,腹腔鏡脾切除術,30
538,淋巴腺活體切片,3
539,結核性淋巴腺炎瘻管切除－ 淺部,3
540,結核性淋巴腺炎瘻管切除－ 深部,3
541,腋下淋巴腺腫切除術,5
542,標準腋下淋巴廓清術,10
543,腹股溝淋巴腺腫切除術,3
544,腹股溝淋巴腺腫根治清除術,10
545,骨盆腔淋巴腺切除術,30
546,後腹膜腔淋巴腺切除術,20
547,縱膈腔或胸腔內淋巴根除術,20
548,髖鼠蹊部淋巴根除術－單側,20
549,髖鼠蹊部淋巴根除術－ 雙側,30
550,淋巴囊腫去除術,10
551,根除性淋巴切除術(肺葉切除或全肺切除時),30
552,良性簡單縱膈腔腫瘤切除(<5公分),30
553,良性複雜縱膈腔腫瘤切除(≧5公分),30
554,惡性縱膈腔腫瘤切除,40
555,縱膈膜切開術,20
556,由胸部穿過肋膜進入取出異物,20
557,橫膈摺疊術,20
558,經由腹腔之橫膈赫尼亞之修補,30
559,經胸廓進入橫膈赫尼亞之修補,30
560,外傷性急性橫膈赫尼亞之修補,20
561,由頸部進入縱膈腔切開術合併探查或引流,10
562,由胸部進入縱膈腔切開術合併探查或引流,20
563,由胸骨切開進入縱膈腔切開術合併探查或引流,20
564,由頸部進入取出異物,5
565,由胸骨切開進入取出異物,20
566,由胸腹部合併進入橫膈赫尼亞之修補,30
567,胸腔鏡縱膈腔腫瘤切除術(<5cm),30
568,胸腔鏡縱膈腔腫瘤切除術(≧5cm),40
569,腹腔鏡Nissen氏胃摺疊術,30
G、消化器,,
570,口腔或口咽腫瘤切除,20
571,蝦蟆腫切開術,5
572,蝦蟆腫切除術,5
573,舌部份／楔狀切除術,10
574,舌修補術,5
575,顎扁桃摘出術,5
576,舌扁桃切除術,5
577,咽扁桃切除術,5
578,冷凍扁桃腺手術,3
579,下頷腺切除術,10
580,口腔黏膜切片,3
581,口腔或口咽腫瘤切除，並頸淋巴腺根除術,40
582,舌癌摘出術，包括淋巴節切除及頸部清除術,40
583,舌骨上區清除術,30
584,耳下腺腫瘤切除術,30
585,舌半切除術,20
