0,1,2
編號,手術項目,"手術
給付倍數"
190,掌骨肌膜植入術,20
191,手部根蒂皮瓣移植術,5
192,根蒂皮瓣分離術,5
193,甲床與手指重建術,5
194,一般瘢痕攣縮鬆弛術(限有顯著運動限制者),10
195,"臉、頸部瘢痕攣縮鬆弛術(限有顯著運動限制
者)",10
196,"手、腳、會陰瘢痕攣縮鬆弛術(限有顯著運動
限制者)",10
197,骨瘻抑制術,5
198,骨關節腫瘤摘除術,10
199,脊椎椎體搔爬術或切除術,20
200,骨盤半切斷術,30
201,上顎骨惡性腫瘍摘除術合併淋巴切除,20
202,上顎骨惡性腫瘍摘除術合併頸部清除術,30
203,下顎骨惡性腫瘍摘除術合併淋巴切除,20
204,下顎骨惡性腫瘍摘除術合併頸部清除,30
205,斷指再接手術－ 一隻手指,30
206,斷指再接手術－ 二隻手指,40
207,斷指再接手術－ 三隻手指,50
208,斷指再接手術－ 四隻手指,50
209,斷指再接手術－ 五隻手指,60
210,斷肢再接手術,40
211,"趾至指斷指再接手術，一指，包括趾切斷及受
植部位準備",50
212,脊椎骨折開放性復位術,30
213,骨盆骨折開放性復位術,20
214,全股關節置換術,30
215,全肩關節置換術,20
216,全膝關節置換術,30
217,全肘關節置換術,20
218,全腕關節置換術,20
219,全踝關節置換術,20
220,全指、趾關節置換術,5
221,"部份關節置換術併整型術－ 只置換股骨髁或
脛骨高丘或半膝關節或只換髕骨",20
222,"部份關節置換術併整型術－ 只置換髖臼或股
骨或半股關節或半肩關節",20
223,股關節整型術,30
224,肘關節整型術,20
225,肩關節整形術,20
226,腕關節整形術,10
227,踝關節整形術,10
228,膝關節整形術,20
229,全指、趾關節、全掌指及蹠趾成形術,10
230,股關節固定術,30
231,肩關節固定術,20
232,膝關節固定術,20
233,肘關節固定術,10
234,腕關節或腕骨、掌骨關節固定術,10
235,踝關節固定術,10
236,股關節截斷術,30
237,肩關節截斷術,20
238,顎關節授動術,5
239,十字韌帶重建術,30
240,十字韌帶修補術,10
241,肌腱移植術,10
242,肌腱轉移或移位,10
243,肌腱放長術,5
244,肌腱黏連分離術,5
245,肌腱或韌帶完全切斷修補,5
