0,1,2
編號,手術項目,"手術
給付倍數"
,經,
1192,神經分離術—手、足的神經,10
1193,"神經移植—肩、臀關節以上，包括臂神經叢，
坐骨神經",30
1194,神經移植—上臂、前臂、大腿、小腿處之神經,30
1195,神經移植—手、足的神經,30
1196,椎弓整形術,30
1197,"神經修補—肩、臀關節以上，包括臂神經叢，
坐骨神經",20
1198,神經修補—上臂、前臂、大腿、小腿處之神經,20
1199,神經修補—手、足的神經,20
1200,顏面舌下神經吻合術,30
1201,硬腦膜外血腫清除術,30
1202,急性硬腦膜下血腫清除術,30
1203,慢性硬腦膜下血腫清除術,20
1204,腦內血腫清除術,30
1205,良性脊髓腫瘤切除術,40
1206,惡性脊髓腫瘤切除術,40
1207,脊椎內脊髓內腫瘤切除術,40
1208,脊椎融合術－前融合1.無固定物,30
1209,脊椎融合術－前融合2.有固定物,30
1210,脊椎融合術－後融合1.無固定物,30
1211,脊椎融合術－後融合2.有固定物,30
1212,腦膜或脊髓膜突出修補術,30
1213,頭皮腫瘤,5
1214,腦室腹腔分流手術,20
1215,水腫症腦室心房分流手術,20
1216,腦室體外引流,5
1217,歐氏貯囊置放手術,5
1218,腰椎蜘蛛網膜下-腹腔分流手術,10
1219,腰椎腦脊髓液池體外引流,5
1220,腦脊髓液分流管重置,20
1221,癲癇症腦葉切除術,50
1222,經由蝶竇之腦下垂體瘤切除,40
1223,頸動脈栓塞術,10
1224,頸動脈結紮術－ 急性結紮,5
1225,頸動脈結紮術－ 漸進性1.血流遮斷器置入,5
1226,頸動脈結紮術－ 漸進性2.血流遮斷器取出,10
1227,顱內外血管吻合術,40
1228,開顱術摘除血管病變－ 腦血管瘤 1.無病徵的,50
1229,開顱術摘除血管病變－ 腦血管瘤2.有病徵的,50
1230,開顱術摘除血管病變－ 腦血管瘤3.巨大的,50
1231,"開顱術摘除血管病變－ 動靜脈畸型1.小型
(D≦2.5cm)(1)表淺",40
1232,"開顱術摘除血管病變－ 動靜脈畸型1.小型
(D≦2.5cm)(2)深部",50
1233,"開顱術摘除血管病變－ 動靜脈畸型2.中型
(2.5cm＜D≦5cm)(1)表淺",50
1234,"開顱術摘除血管病變－ 動靜脈畸型2.中型
(2.5cm＜D≦5cm)(2)深部",50
1235,"開顱術摘除血管病變－ 動靜脈畸型3.大型
large (D＞5cm)",50
1236,脊椎腔內動靜脈畸型切除術－ 二節以內,40
1237,脊椎腔內動靜脈畸型切除術－ 超過二節,50
1238,面神經痙攣－ 酒精阻斷,3
1239,面神經痙攣－ 選擇性神經切除術,10
1240,"顱骨縫線早期封閉症手術 － 簡單的縫合線顱
骨咬除",20
1241,顱骨縫線早期封閉症手術 － 顱骨分割法,20
1242,高頻熱凝療法,3
1243,顱內壓監視置入,10
