0,1,2
編號,手術項目,"手術
給付倍數"
1462,淚器後繼性修復,10
1463,鼻淚管造口術－ 簡單,10
1464,鼻淚管造口術－ 複雜,20
1465,淚管開口縫合術,3
M、治療性先天殘缺手術,,
1466,新生兒壞死性腸炎手術，含腸切除及吻合術,40
1467,新生兒壞死性腸炎手術，含腸造口,40
1468,總膽管囊腫切除術，膽管迴腸吻合術,50
1469,食道閉鎖及食道氣管瘻管手術,40
1470,新生兒胃穿孔修補術,40
1471,橫膈疝氣修補術,40
1472,橫膈折疊術,40
1473,腸旋轉復形術,30
1474,臍尿管或瘻管切除,20
1475,臍腸系膜瘻管切除,30
N、牙齒,,
1476,單側髁狀突下截骨術或關節成形術,30
1477,涎石切除術，在腺體內,5
1478,髁狀突切除術，單側,10
1479,造碟術及腐骨清除術,10
1480,造碟術,3
1481,髁狀突骨折手術復位術、單側,20
1482,補顎術,5
1483,顴骨弓骨折整復術,5
1484,顎骨折整復術 － 單一骨折,10
1485,顎骨折整復術 － 複雜骨折,20
1486,顎骨切除術、邊緣切除,10
1487,顎骨切除術部份切除,20
1488,顎骨切除術、半切除,20
1489,顎骨重建術、骨移植,20
1490,顎骨重建術、金屬夾板,10
1491,唾液腺切除術－表淺或良性,5
1492,唾液腺切除術－惡性,10
1493,末梢神經抽除術,5
1494,下齒槽神經抽除術,10
1495,顳顎關節脫臼手術整復,5
1496,"顎骨矯正手術－合併上、下顎骨切除術或Le
Fort Ⅲ型切骨術",30
1497,顎骨矯正手術－單顎或二處,20
1498,顎骨矯正手術－一處,10
1499,快速顎骨擴張器治療,10
