0,1,2
編號,手術項目,"手術
給付倍數"
361,脫手套法正中顏面手術併顏面骨復位術,30
362,脫手套法正中顏面手術不合併顏面骨復位術,10
363,鼻骨折開放性復位,10
364,經外側篩竇切除修補腦脊髓液鼻漏,20
365,內視鏡功能鼻竇手術－ 單側,8
366,內視鏡功能鼻竇手術－ 雙側,10
367,經外側前額竇及篩竇切除術,20
368,"經外側前額竇及篩竇切除術及粘膜骨膜瓣重建
術",30
369,前額竇骨成形術,30
370,前額竇骨成形術及脂肪填塞,30
371,前額竇開窗術,20
372,鼻鈕扣放置術,10
373,側鼻切開腫瘤摘除術併顏面骨復位術,30
374,側鼻切開腫瘤摘除術不合併顏面骨復位術,30
375,鼻雷射手術,5
376,黏膜下透熱法,3
377,"單純性喉直達鏡並做聲帶或會厭軟骨腫瘤切除
或剝去",5
378,"複雜性喉直達鏡並做聲帶或會厭軟骨腫瘤切除
或剝去",10
379,聲帶內 Teflon 注射,10
380,喉成形術－單純性,10
381,喉成形術－複雜性,20
382,氣管永久造孔術,10
383,喉軟骨整形術－單純性,10
384,喉軟骨整形術－複雜性,30
385,喉切開術,10
386,全喉切除術不含頸淋巴腺根除術,30
387,全喉切除術併行頸淋巴腺根除術,40
388,全喉切除術同時併行氣管食道分路手術,40
389,水平式喉部份切除術,30
390,垂直式（側方或前方）喉部份切除術,30
391,頸淋巴腺根除術,30
392,杓狀軟骨截除術或杓狀軟骨固定術,20
393,經內視鏡做杓狀軟骨切除,10
394,聲帶上部份喉切除術,30
395,氣管膺復重建,30
396,喉膺復重建,30
397,喉咽切除術,40
398,機能性喉頭軟骨整形術－兩型性,10
399,懸壅顎咽成形術,20
400,環咽肌切開術,20
401,氣管造口整形術,20
402,甲狀舌骨囊腫切除,5
403,腮弓囊腫切除,10
404,喉部腫瘤雷射手術,10
405,胸壁切除術(小於10公分),20
406,胸壁切除術(≧10公分),30
407,惡性腫瘤胸壁切除,30
408,開胸探查術,20
409,胸骨或肋骨骨折開放復位手術,10
410,經胸迷走神經切斷術,20
411,胸腺切除術,30
412,廣泛性胸腺切除,30
413,密閉式引流術,5
414,開放式引流術,20
415,簡單胸廓擴創術 <10公分,5
416,複雜胸廓擴創術 ≧10公分,10
417,探查式肺切開術,10
