0,1,2
編號,手術項目,"手術
給付倍數"
246,肌腱或韌帶不完全切斷修補,5
247,肌腱或韌帶修補，囊內,10
248,肌腱切開或筋膜切開,5
249,人工關節移除－ 股、肩、膝,10
250,人工關節移除－ 腕、踝,5
251,人工關節移除－ 指、趾,5
252,人工全髖關節再置換,40
253,人工全膝關節再置換,40
254,髖關節切除成形術,20
255,惡性骨瘤廣泛切除(一次),40
256,惡性骨瘤二次廣泛切除,40
257,良性骨瘤刮除術及骨移植,20
258,軟組織惡性腫瘤廣泛切除,30
259,"軟組織良性腫瘤切除術,大或深",20
260,上肢廣泛性肩關節截除術,40
261,跟鍵斷裂重建術,10
262,臏骨韌帶斷裂重建術,10
263,膝內外側韌帶修補術,10
264,膝內外側韌帶重建術,20
265,踝前脛腓韌帶重建術,10
266,半月軟骨部分切除或修補術,10
267,"復發性肩關節前脫臼,開放性復位及關節囊成
形術",10
268,拇指基關節置換術,10
269,區域筋膜切除術,5
270,島狀根帶蒂皮瓣移植,20
271,游離骨骼肌肉移植術,30
272,拇指重建手術,30
273,手指移位以重建手指,40
274,掌側板關節成形術,10
275,人工肌鍵植入術,10
276,遠端橈尺關節重建術,10
277,近關節肩岬骨骨折開放性復位術,10
278,髖臼骨折開放性復位術,10
279,骨骼外固定器裝置術,5
280,股骨頭壞死鑽洞手術,10
281,"開放性或閉鎖性肱骨粗隆或骨幹或踝部骨折，
開放性復位術",10
282,骨整形術－縮短,20
283,骨整形術－延長,30
284,橈骨頭切除術,5
285,"關節鏡手術－關節鏡探查手術，併施行滑膜切
片，灌洗，清創",5
286,"關節鏡手術－關節鏡下關節面磨平成形術，打
洞，游離體或骨軟骨碎片取出手術",10
287,"骨內固定物拔除術－骨盆，髖骨，肱骨，股
骨，尺骨，橈骨，脛骨",5
288,骨內固定物拔除術－脊椎,10
289,骨內固定物拔除術－其他部位,5
290,尾胝骨骨折及脫位徒手復位術,3
291,膝蓋骨切除術,5
292,杵狀足解除術,5
293,貝克氏囊腫截除術,3
294,顏面骨移植術(外傷腫瘍摘除),20
295,人工半髖關節再置換術,30
296,半肩關節成形術,20
297,三重骨盆股骨切開加股骨縮短術,30
298,肌腱固定術,5
299,肌肉修補術(四肢),5
300,膝關節半月軟骨修補術,10
301,肌切開術,5
