0,1,2
編號,手術項目,"手術
給付倍數"
1138,"骨盆腔子宮內膜異位症，電燒及切除—重度：
子宮內膜異位症分級指數大於40分。",20
1139,經腹部子宮內避孕器移除術,5
1140,薦骨前神經截斷術,5
1141,腹腔鏡式薦骨前神經截斷術,10
1142,"腹腔鏡子宮外孕手術(含腹腔鏡子宮外孕藥物
注射)",30
1143,骨盆腔惡性腫瘤消滅術,30
1144,敗血性流產,5
1145,子宮內膜電燒及切除術,5
I、內分泌器,,
1146,單側次全甲狀腺切除術,10
1147,雙側次全甲狀腺切除術,20
1148,甲狀腺囊腫切除術,10
1149,單側甲狀腺全葉切除術,20
1150,"單側甲狀腺全葉切除術及另一側次全甲狀腺切
除術",30
1151,雙側甲狀腺全葉切除術,30
1152,頸部淋巴腺刮除術－單側,20
1153,頸部淋巴腺刮除術－ 雙側,30
1154,副甲狀腺切除術 －亞全切除術,20
1155,副甲狀腺切除術 －全切除術,30
1156,"根治性甲狀腺切除術（含單側頸部淋巴腺切除
術）",30
1157,腎上腺切除術，單側,20
1158,腎上腺切除術合併後腹腔腫瘤切除－單側,20
1159,腎上腺切除術合併後腹腔腫瘤切除－雙側,30
1160,副甲狀腺再植術,10
1161,副甲狀腺切除加上自體,20
1162,腹腔鏡腎上腺切除,20
J、神經外科,,
1163,腦微血管減壓術,40
1164,椎弓切除術（減壓）－ 二節以內,20
1165,椎弓切除術（減壓）－ 超過二節,30
1166,顳下減壓術－ 單側,20
1167,顳下減壓術－ 雙側,30
1168,正中神經或尺神經腕部減壓術－ 單側,5
1169,正中神經或尺神經腕部減壓術－ 雙側,10
1170,側股皮下神經或後脛神經減壓術－ 單側,5
1171,側股皮下神經或後脛神經減壓術－ 雙側,10
1172,腦組織活體切片,20
1173,凹陷性顱骨骨折之手術－ 簡單骨折,20
1174,凹陷性顱骨骨折之手術－ 開放骨折,20
1175,頭顱穿洞術（止血引流、穿刺檢查）,5
1176,顱骨切除術,20
1177,頭顱成形術,20
1178,腦瘤切除－腦瘤大小3公分以內,40
1179,腦瘤切除－腦瘤大小介於3~6公分,40
1180,腦瘤切除－腦瘤大小6公分以上,40
1181,脊髓切斷術,30
1182,後根切斷術,30
1183,椎間盤切除術－ 頸椎,40
1184,椎間盤切除術－ 胸椎,30
1185,椎間盤切除術－ 腰椎,30
1186,頸交感神經切除術,10
1187,胸交感神經切除術,30
1188,腰交感神經切除術,20
1189,神經切斷術,5
1190,"神經分離術—肩、臀關節以上，包括臂神經
叢，坐骨神經",20
1191,神經分離術—上臂、前臂、大腿、小腿處之神,10
