0,1,2
編號,手術項目,"手術
給付倍數"
476,二尖瓣擴張術,40
477,心內膜切片,5
478,心外膜切片,5
479,主動脈轉位症手術(含導管進行),50
480,心房-肺動脈迴路成形術 (六歲以上),50
481,心房-肺動脈迴路成形術 (六歲以下),50
482,心臟摘取,30
483,心臟植入,80
484,體外循環維生系統建立(第一次),20
485,肺臟移稙－單肺,80
486,肺臟移稙－雙肺，連續性或同時性,80
487,肺臟摘取,30
488,四合群症之繞道手術,40
489,經皮穿腔心臟中膈肌切除術,10
490,胸腔鏡心包膜開窗術,30
491,心房切割隔間之不整脈手術,40
492,"心室輔助裝置植入(等待心臟植入手術之過渡
術式)",40
493,動脈栓塞物切除術,10
494,經動脈導管之栓塞物切除術,10
495,靜脈血栓切除術,10
496,動脈內膜切除術,30
497,血管探查,5
498,血液透析用之血管插管（自靜脈到靜脈）,3
499,動靜脈之血管插管：Scribner型,5
500,血管吻合術,20
501,動脈縫合,20
502,頸動脈之結紮,5
503,股靜脈結紮,10
504,下腹動脈或子宮動脈結紮與分離,10
505,長隱靜脈於隱－股交接處的結紮和分離,10
506,"長或短隱靜脈的結紮，分離和完全剝出 －單
側",8
507,"長或短隱靜脈的結紮，分離和完全剝出 －雙
側",10
508,長及短隱靜脈的結紮，分離和完全剝出－單側,10
509,長及短隱靜脈的結紮，分離和完全剝出－雙側,20
510,頸靜脈結紮,5
511,"根除性筋膜下剝出(如Luinton法)有或無皮膚
移植",10
512,小隱靜脈在隱－膝膕靜脈交接處的結紮和分離,5
513,其他小靜脈曲張之縫合，結紮或剝除,5
514,肺動脈栓塞切除術,30
515,"頸 (肢體)動靜瘻管之切除移植及直接修補，
右繞道手術",30
516,"胸（腹）部動靜瘻管之切除移植及直接修補手
術—升主動脈",40
517,"胸（腹）部動靜瘻管之切除移植及直接修補手
術—主動脈弓",40
518,"胸（腹）部動靜瘻管之切除移植及直接修補手
術—降主動脈",40
519,肺動脈結紮,30
520,主動脈－肺動脈開窗之修補手術,40
521,主動脈狹窄之修補,40
522,頸動脈體瘤切除術,30
523,術後出血或栓塞探查術－頸部,10
524,術後出血或栓塞探查術－胸部,5
525,存開性動脈導管手術,30
526,末稍血管修補及吻合術,10
527,末稍血管修補及吻合術併血管移植,20
528,肺動脈瓣氣球擴張術,40
